filename,"
annotation 1 (general description)", id1,annotation 2(attributes oriented caption), id2,annotation 3(most salient detail),id3
1.jpg,a man lifts a bike above his head,1,a bike above a man with an orange jacket,230,a man holding a bike,459
2.jpg,a man is carrying a bike on his shoulders in front of a lake,2,a grey bike on the shoulders of a man wearing a red t-shirt,231,a bike above a man,460
4.jpg,one man is carrying a bike and another man is pushing a bike,3,a man next to a bike and a man carrying a bike,232,a man carrying a bike,461
14.jpg,a tiny house on wheels is sitting in front of barn and a car,4,a wooden tiny house before a red barn and a red car,233,a wooden tiny house on wheels,462
16.jpg,a car is pulling a wooden house on a road,5,a wooden house behind a white pickup truck on a road,234,a wooden house on wheels behind a car,463
26.jpg,a tiny house on wheels is sitting on grass,6,a tiny house with wheels on green grass,235,a wooden house on grass,464
32.jpg,photographers taking pictures of a red car in the air,7,a red car in front of photographers,236,a red car in the air,465
39.jpg,men with orange jackets are looking  to a car in the air,8,a grey car in the air above a dirt road and several men ,237,a grey car in the air,466
40.jpg,a red car is in the air above the road,9,a red car in the air in front of a forest,238,a red car in the air,467
42.jpg,a black car is stuck in a tree in front of a parking lot,10,a black car is in a tree,239,a black car is stuck in a tree,468
45.jpg,a white and blue pickup truck is stuck in a tree,11,a white and blue car between two trees,240,a blue car in a tree,469
48.jpg,a black car without front wheel is in a tree,12,a black car is in a tree in front of a forest,241,a black car in a tree,470
52.jpg,two cars are above a bus ,13,a red bus with a red car and a blue car on its roof,242,a car is on top of a bus,471
53.jpg,two cars sit on a bus in front of a mountain,14,a green old bus and two old cars,243,two car are on a bus,472
56.jpg,two cars are above a bus ,15,an old bus in the desert ant two blue cars,244,a bus with two car on its roof,473
62.jpg,an elephant is above a car,16,There is a big elephant and a grey car on a road,245,a car is blocked under an elephant,474
64.jpg,an elephant is sitting on a car,17,There is an elephant and a an old-fashioned car in a city,246,an elephant is driving a car,475
65.jpg,an elephant steps on a car with other cars behind it,18,A great elephant and many modern cars ,247,an elephant is walking on a car,476
66.jpg,a cat is on the back of a dog and a woman stands behind them.,19, a brown dog and a tabby cat in a bright room,248,a cat rests on a standing dog,477
67.jpg,"a cat is above a dog which is resting on the floor
",20,a small yellow cat and a light-skinned dog inside a room,249,a cat sits on a resting dog,478
70.jpg,a cat rides a walking dog in the street,21,There is a tabby cat and a dog wearing necklaces and a leash,250,a cat rides a dog,479
76.jpg,a man to the left with a tie faces a cat wearing a tie to the right,22,a middle-aged man with white hair and a funny dog with a red tie,251,a cat wears a tie,480
77.jpg,a cat has a tie and a hat on top of his head,23,a small cat with green eyes a yellow hat and a colorful tie,252,a cat wears a tie and a hat,481
78.jpg,three cats sitting on a couch wear ties in a dark room,24,a furry cat with a green tie and two other cats with colorful ties,253,three cats are wearing a tie,482
84.jpg,two girls in a corridor with a cone on their head.,25,There are two young girls dressed in orange and two orange cones,254,two girls wear a cone on their head,483
86.jpg,a man walks on a road with a cone on his head an a stop sign .,26,an old man dressed in bright colours in a rainy day,255,a man wears a cone on his head,484
88.jpg,A man with a cone on his head is next to a woman,27,"At night, there is a young man and a young girl and an orange cone",256,a man wears a cone on his head,485
103.jpg,a man sleeping on a couch has a dog on top of him inside a room,28,a sick young man sleeps in a messy room with a big white dog,257,a dog rests on a man,486
105.jpg,a woman behind a dog sleeps on a couch,29,a furry brown dog and a young sleeping woman on a leather sofa,258,a deg rests on a couch with a woman,487
107.jpg,a dog lies on a man on a bed in a bedroom,30,a big dog on a large bed and a sleeping man are in a room.,259,a dog sleeps on a man,488
114.jpg,a dog pulls a horse to his left with a leash in a park,31,a small dog bites a leash and a tall  black horse stands next to him,260,a dog pulls a horse ,489
115.jpg,a dog walks along a horse on a road with a leash,32,a black and white dog and a tall white horse in the countryside,261,a dog walks with a horse,490
117.jpg,a dog pulls a horse with a leash on a road in front of a field,33,a skinny brown dog and a white horse in a cloudy day,262,a dog pulls a horse ,491
118.jpg,a dog pulls a man behind him with a leash ,34,a little white dog runs and a man has a red shirt,263,a dog pulls a man,492
120.jpg,two dogs pull a man on a skateboard in the countryside,35,two brown and white dogs run and a young man rides a skateboard,264,two dogs pull a man with a leash,493
122.jpg,a dog pulls a falling man with a leash in a field,36,a small dog walks in the grass and a young man falls,265,a dog pulls a man with a leash,494
140.jpg,a dog rides a bike on a road and woman stands in front of him,37,a big fury dogs on a blue bicycle with a young athletic woman,266,a dog rides a bicycle,495
142.jpg,a dog on a bike on a pavement in front of a building,38,a curly brown dog rides a small red and yellow bike,267,a dog rides a bike,496
145.jpg,a dog sits on a bike in front of a plant and a building,39,a small white dog sits on a big grey bicycle and a green plant,268,a dog sits on a bike,497
149.jpg,A dog driving a car next to a man.,40,A brown dog driving a car.,269,A dog driving a car,498
150.jpg,A dog sitting on a dog in the wild.,41,A small dog sitting on a big dog,270,A dog sitting on a dog.,499
152.jpg,Three dogs playing in snow.,42,A dog wearing a red jacket on snow. A dog sitting in snow. A dog running on snow.,271,A dog wearing a red jacket on snow.,500
